AccSpeciesName,OrigUnitStr,"Leaf area (in case of compound leaves: leaflet, petiole excluded)",Leaf carbon (C) content per leaf dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf phenols content per leaf dry mass,Leaf sugar content per leaf dry mass
Populus tremuloides,%,NA,48.93721016949153,NA,NA,NA
Populus tremuloides,percent,NA,49.77192473118279,NA,NA,NA
Prunus avium,%,NA,46.611802513166666,NA,NA,NA
Prunus avium,(mg g-1),NA,472,NA,NA,NA
Prunus avium,g/100g,NA,46.19,NA,NA,NA
Prunus avium,mg/mg *100,NA,46.64018112874779,NA,NA,NA
Prunus pensylvanica,%,NA,46.176,NA,NA,NA
Prunus pensylvanica,percent,NA,50.25378571428571,NA,NA,NA
Prunus serotina,%,NA,46.88704100025,NA,NA,NA
Prunus umbellata,%,NA,47.18,NA,NA,NA
Abies concolor,g/g,NA,NA,40.48804653568421,NA,NA
Acer buergerianum,g/g,NA,NA,16.8957144075,NA,NA
Acer campestre,%/%,NA,NA,18.9232446523924,NA,NA
Acer campestre,g/g,NA,NA,10.1638795141308,NA,NA
Acer leucoderme,g/g,NA,NA,65,NA,NA
Acer negundo,%/%,NA,NA,14.1710247915544,NA,NA
Acer negundo,g/g,NA,NA,39.5855123957772,NA,NA
Acer nigrum,g/g,NA,NA,65,NA,NA
Acer pensylvanicum,g/g,NA,NA,18.502363195067417,NA,NA
Acer platanoides,g/g,NA,NA,45.319148936,NA,NA
Acer rubrum,g/g,NA,NA,28.984679983578946,NA,NA
Acer rubrum,kg C per kg N,NA,NA,24.700000000000003,NA,NA
Acer saccharinum,g/g,NA,NA,65,NA,NA
Acer saccharum,g/g,NA,NA,20.30339456436073,NA,NA
Acer saccharum,kg C per kg N,NA,NA,27.85,NA,NA
Acer spicatum,g/g,NA,NA,65,NA,NA
Aesculus flava,g/g,NA,NA,65,NA,NA
Aesculus glabra,g/g,NA,NA,65,NA,NA
Aesculus hippocastanum,g/g,NA,NA,2,NA,NA
Larix laricina,g/g,NA,NA,26.904234532777778,NA,NA
Larix laricina,kg C per kg N,NA,NA,30.5,NA,NA
Ligustrum sinense,g/g,NA,NA,24.060143328,NA,NA
Ligustrum vulgare,g/g,NA,NA,26.938650566775,NA,NA
Liquidambar styraciflua,g/g,NA,NA,65,NA,NA
Liriodendron tulipifera,g/g,NA,NA,26.170848992941178,NA,NA
Liriodendron tulipifera,kg C per kg N,NA,NA,31.4,NA,NA
Lonicera maackii,g/g,NA,NA,28.622422517,NA,NA
Maackia amurensis,g/g,NA,NA,11.384649116,NA,NA
Maclura pomifera,g/g,NA,NA,65,NA,NA
Magnolia acuminata,g/g,NA,NA,65,NA,NA
Magnolia fraseri,g/g,NA,NA,65,NA,NA
Magnolia grandiflora,g/g,NA,NA,28.34813498592308,NA,NA
Magnolia virginiana,g/g,NA,NA,22.055001329,NA,NA
Morus alba,g/g,NA,NA,16.837438424,NA,NA
Morus rubra,g/g,NA,NA,65,NA,NA
Morus rubra,kg C per kg N,NA,NA,21.6,NA,NA
Nyssa aquatica,g/g,NA,NA,65,NA,NA
Nyssa sylvatica,g/g,NA,NA,45.95945946,NA,NA
Osmanthus fragrans,g/g,NA,NA,72.192010552,NA,NA
Ostrya virginiana,g/g,NA,NA,16.320239703413794,NA,NA
Persea borbonia,g/g,NA,NA,41.240277776666666,NA,NA
Picea abies,g/g,NA,NA,38.423645113556574,NA,NA
Picea abies,kg C per kg N,NA,NA,43.45,NA,NA
Picea glauca,g/g,NA,NA,42.20366980666667,NA,NA
Picea glauca,kg C per kg N,NA,NA,40.3,NA,NA
Pinus echinata,g/g,NA,NA,65,NA,NA
Pinus radiata,g/g,NA,NA,34.0990882935,NA,NA
Pinus strobus,g/g,NA,NA,32.56080947472222,NA,NA
Pinus strobus,kg C per kg N,NA,NA,26.1,NA,NA
Pinus taeda,g/g,NA,NA,65,NA,NA
Pinus taeda,kg C per kg N,NA,NA,42,NA,NA
Pinus virginiana,g/g,NA,NA,65,NA,NA
Platanus occidentalis,g/g,NA,NA,65,NA,NA
Populus alba,g/g,NA,NA,41.252073951,NA,NA
Populus balsamifera,g/g,NA,NA,24.843279952820975,NA,NA
Populus deltoides,g/g,NA,NA,40.9356846475,NA,NA
Populus deltoides,kg C per kg N,NA,NA,21.2,NA,NA
