AccSpeciesName,Urbanity,Hemeroby,Known Allelopath,Toxicity,Palatable Browse Animal,Palatable Human,Potential to cause bloat in livestock,Palatable Graze Animal,Physical defences on leaves,Physical defences on stems,Physical defences on flowers/fruits,Species potential allelopathy
Pinus radiata,NA,NA,No,None,NA,No,NA,NA,NA,NA,NA,NA
Pinus taeda,NA,NA,No,None_none,Low,No,NA,Low,NA,NA,NA,not allelopathic
Pinus virginiana,NA,NA,No,None_none,Low,No,NA,Low,NA,NA,NA,not allelopathic
Platanus occidentalis,NA,NA,No,None_none,Low,No,None,NA,NA,NA,NA,allelopathic
Populus deltoides,NA,NA,No,None_none,Medium,No,None,Low,NA,NA,NA,allelopathic
Populus fremontii,NA,NA,No,None,Low,No,NA,Low,NA,NA,NA,NA
Populus grandidentata,NA,NA,No_no,None_none,Medium,No,None,Low,NA,NA,NA,allelopathic
Populus tremuloides,NA,NA,No_no,None_none,High,No,None,Medium,NA,NA,NA,allelopathic
Prunus americana,NA,NA,No,Slight_low,Medium,Yes,None,Low,NA,NA,NA,not allelopathic
Prunus maritima,NA,NA,No,None,Medium,Yes,NA,Low,NA,NA,NA,NA
Prunus pensylvanica,NA,NA,No,Moderate_medium,Medium,Yes,None,NA,NA,NA,NA,not allelopathic
Ptelea trifoliata,NA,NA,No,None_none,Low,No,NA,Low,NA,NA,NA,not allelopathic
Prunus laurocerasus,NA,NA,NA,NA,NA,NA,NA,NA,glabrous_thick cuticle,NA,NA,NA
Acer leucoderme,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,not allelopathic
