AccSpeciesName,C amount at 13C measurement (%),Leaf area: in case of compond leaves leaflet; petiole excluded (1) (cm2),Leaf area: in case of compound leaves leaflet; petiole excluded (cm2),Leaf area: in case of compound leaves leaflet; petiole excluded (m2),Leaf area: in case of compound leaves leaflet; petiole excluded (mm2),Leaf carbon content per dry mass (%),Leaf carbon content per dry mass ((mg g-1)),Leaf carbon content per dry mass (g C g-1 DW),Leaf carbon content per dry mass (g/100g),Leaf carbon content per dry mass (g/kg),Leaf carbon content per dry mass (mg g-1),Leaf carbon content per dry mass (mg/g dry mass),Leaf carbon content per dry mass (mg/g),Leaf carbon content per dry mass (mg/mg *100),Leaf carbon content per dry mass (percent),Leaf carbon/nitrogen (C/N) ratio (%/%),Leaf carbon/nitrogen (C/N) ratio (g/g),Leaf carbon/nitrogen (C/N) ratio (kg C per kg N),Leaf carbon/nitrogen (C/N) ratio (unitless),Leaf phenols content per dry mass (mg/g dry mass),Leaf senescent carbon content per dry mass (%),Leaf sugar content per dry mass (g g-1 DW)
Acer pensylvanicum,NA,NA,NA,NA,NA,46.95852582159625,NA,NA,NA,NA,NA,471.4461581920904,NA,NA,48.567,NA,18.502363195067417,NA,NA,0.6588633436034621,NA,NA
Acer spicatum,NA,NA,NA,NA,NA,45.7899,NA,NA,NA,NA,NA,NA,NA,NA,48.917,NA,65,NA,NA,NA,NA,NA
Aesculus flava,NA,NA,NA,NA,NA,45.52125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
Aesculus parviflora,NA,NA,NA,NA,NA,48.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aesculus pavia,NA,NA,NA,NA,NA,49.2198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larix laricina,NA,NA,NA,NA,NA,48.528888888888886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.904234532777778,30.5,NA,NA,NA,NA
Leucothoe axillaris,NA,NA,NA,NA,NA,46.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lindera benzoin,NA,NA,NA,NA,NA,44.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liquidambar styraciflua,NA,NA,NA,NA,NA,49.59570588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
Magnolia acuminata,NA,NA,NA,NA,NA,45.33618518518519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
Magnolia fraseri,NA,NA,NA,NA,NA,46.257777777777775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
Magnolia tripetala,NA,NA,NA,NA,NA,47.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
